  row   spin#  idx(r1,r2,r3)  reel1 reel2 reel3  tri  flags
  438   65852        (8,8,8)  goldS goldS goldS   3x  >>> MAX BET (8,8,8) <<<  (triple: goldSack)
                                                      --- gap 8: 39 spins ---
  439   65853        (7,3,8)  accum accum accum   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#8 ACC** (gap=39)
  440   65854        (2,2,2)  accum goldS goldS       
  441   65856        (3,6,0)  attac steal goldS       
  442   65857        (7,3,7)  attac spins goldS       
  443   65859        (4,1,5)  goldS goldS goldS   3x  (triple: goldSack)
  444   65860        (3,7,8)   coin  coin steal       
  445   65863        (7,3,8)   coin  coin  coin   3x  (triple: coin)
  446   65864        (6,6,6)  accum goldS goldS       >>> MAX BET (6,6,6) <<<
                                                      --- gap 9: 7 spins ---
  447   65865        (3,7,8)  spins spins spins   3x  <-- NEXT SPIN AFTER SIGNAL  **VT#9 SPN** (gap=7)
  448   65866        (3,3,8)  accum goldS goldS       
  449   65869        (1,8,8)   coin  coin steal       
  450   65871        (7,3,8)   coin  coin steal       
  451   65873        (1,0,0)  attac spins goldS       
  452   65874        (4,4,4)  attac attac  coin       
  453   65875        (7,7,8)  steal steal steal   3x  (triple: steal)
  454   65878        (4,1,1)  attac spins goldS       
  455   65879        (7,3,8)   coin  coin steal       
  456   65883        (2,2,2)  attac attac goldS       
  457   65885        (7,6,0)  attac spins goldS       
  458   65886        (3,6,0)  attac spins goldS       
  459   65887        (1,8,8)  attac spins goldS       
  460   65889        (1,0,0)  attac  coin shiel       
  461   65890        (3,7,7)  attac attac  coin       
  462   65891        (7,7,8)  goldS goldS goldS   3x  (triple: goldSack)
  463   65893        (1,0,0)   coin spins spins       
  464   65894        (0,0,0)  attac attac  coin       
  465   65895        (5,8,8)  attac attac attac   3x  (triple: attack)
  466   65896        (4,1,1)  accum accum  coin       
  467   65897        (3,7,2)   coin  coin steal       
  468   65898        (5,8,8)  shiel goldS goldS       
  469   65899        (3,3,8)  accum accum  coin       
  470   65900        (0,0,0)  accum goldS goldS       
  471   65901        (1,1,1)  attac attac attac   3x  (triple: attack)
  472   65902        (0,0,0)   coin  coin  coin   3x  (triple: coin)
  473   65903        (4,4,1)  attac attac attac   3x  (triple: attack)
  474   65907        (5,1,1)   coin  coin  coin   3x  (triple: coin)
  475   65909        (3,7,8)   coin steal steal       
  476   65912        (6,6,1)  attac  coin shiel       
  477   65915        (7,6,4)   coin  coin steal       
  478   65918        (0,0,0)   coin spins spins       
  479   65920        (7,7,8)  steal spins goldS       
  480   65923        (7,6,4)  attac steal goldS       
  481   65924        (0,0,0)  steal spins goldS       
  482   65925        (0,0,0)  attac attac attac   3x  (triple: attack)
  483   65927        (2,2,2)   coin steal steal       
  484   65928        (1,8,8)  shiel shiel shiel   3x  (triple: shield)
  485   65930        (3,6,0)  goldS goldS goldS   3x  (triple: goldSack)
  486   65931        (4,5,1)  attac spins goldS       
  487   65933        (7,3,8)   coin  coin  coin   3x  (triple: coin)
